ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
0	Air travel 	 82.04806447029114 
1	Travel 	 76.51050686836243 
2	Passenger 	 75.68053007125854 
3	Public transport 	 74.3366003036499 
4	Electric blue 	 73.61949682235718 
5	Airplane 	 68.61814260482788 
6	Airline 	 67.35292673110962 
7	Fashion design 	 64.89949226379395 
8	Aerospace engineering 	 61.678218841552734 
9	Airliner 	 59.59211587905884 
	Object 	 Score
0	Person 	 91.02320671081543 
1	Person 	 76.92698240280151 
2	Outerwear 	 63.630104064941406 
3	Pants 	 62.469303607940674 
4	Person 	 50.888919830322266 


ffa .fem-flight-attendants-light-183.jpg
 	Label 	 Score
0	Clothing 	 98.73430132865906 
1	Smile 	 97.04628586769104 
2	Aircraft cabin 	 88.89161944389343 
3	Air travel 	 85.0456178188324 
4	Airplane 	 82.97760486602783 
5	Aircraft 	 81.53335452079773 
6	Aerospace manufacturer 	 80.13660311698914 
7	Travel 	 78.994882106781 
8	Airliner 	 77.73047089576721 
9	Aviation 	 76.19879841804504 
	Object 	 Score
0	Belt 	 90.5579149723053 
1	Person 	 90.31023979187012 
2	Pants 	 90.14809131622314 
3	Shirt 	 80.86711168289185 
4	Person 	 68.22697520256042 
5	Person 	 63.30252289772034 
6	Person 	 52.38178372383118 


ffa .fem-flight-attendants-light-127.jpg
 	Label 	 Score
0	Automotive design 	 88.7698769569397 
1	Vehicle 	 87.95239925384521 
2	Flight attendant 	 86.60286664962769 
3	Flash photography 	 86.42427921295166 
4	Mode of transport 	 85.72368621826172 
5	Air travel 	 85.60983538627625 
6	Tie 	 84.5541000366211 
7	Collar 	 83.70928764343262 
8	Travel 	 82.48664140701294 
9	Airplane 	 82.16556906700134 
	Object 	 Score
0	Scarf 	 93.63740682601929 
1	Person 	 93.28948855400085 
2	Coat 	 68.9361035823822 


ffa .fem-flight-attendants-light-493.jpg
 	Label 	 Score
0	Aircraft cabin 	 90.35286903381348 
1	Air travel 	 88.06101083755493 
2	Airplane 	 87.78845071792603 
3	Aircraft 	 87.06145286560059 
4	Flight attendant 	 85.32102704048157 
5	Gesture 	 85.2604866027832 
6	Collar 	 80.26010394096375 
7	Aerospace manufacturer 	 79.89380955696106 
8	Travel 	 78.45484614372253 
9	Airliner 	 77.89554595947266 
	Object 	 Score
0	Person 	 87.65592575073242 
1	Tie 	 77.79876589775085 
2	Top 	 73.27535152435303 
3	Person 	 61.36893630027771 


ffa .fem-flight-attendants-light-205.jpg
 	Label 	 Score
0	Chair 	 89.9705708026886 
1	Gesture 	 85.2604866027832 
2	Air travel 	 81.75903558731079 
3	Event 	 74.30624961853027 
4	Leisure 	 73.81465435028076 
5	Comfort 	 70.03681063652039 
6	Fun 	 69.79372501373291 
7	Travel 	 67.44447946548462 
8	Crowd 	 66.1522626876831 
9	Aerospace engineering 	 64.65544700622559 
	Object 	 Score
0	Person 	 83.81242156028748 
1	Person 	 73.62528443336487 
2	Shirt 	 72.0781683921814 
3	Person 	 64.95311856269836 
4	Person 	 57.743048667907715 


ffa .fem-flight-attendants-light-84.jpg
 	Label 	 Score
0	Gesture 	 85.2604866027832 
1	Interior design 	 84.94871854782104 
2	Flash photography 	 82.15870261192322 
3	Travel 	 77.80051231384277 
4	Air travel 	 77.47025489807129 
5	Airplane 	 74.05141592025757 
6	Electric blue 	 71.95751070976257 
7	Airline 	 69.55751180648804 
