fp .fem-pilots-light-526.png
 	Label 	 Score
0	Cloud 	 96.8435525894165 
1	Sky 	 94.94346976280212 
2	Tire 	 93.32188963890076 
3	Aircraft 	 90.12297987937927 
4	Wheel 	 89.93087410926819 
5	Aerospace manufacturer 	 84.05530452728271 
6	Travel 	 81.5896213054657 
7	Propeller 	 80.27501702308655 
8	Aviation 	 79.4630229473114 
9	Airplane 	 78.75000238418579 
	Object 	 Score
0	Person 	 91.2279725074768 
1	Tire 	 79.78174686431885 
2	Shoe 	 77.9425323009491 
3	Tire 	 76.26209855079651 
4	Footwear 	 73.08654189109802 
5	Pants 	 71.24464511871338 
6	Wheel 	 61.346083879470825 
7	Wheel 	 60.80722212791443 


fp .fem-pilots-light-471.jpg
 	Label 	 Score
0	Smile 	 98.25611114501953 
1	Window 	 81.5509021282196 
2	Travel 	 81.13596439361572 
3	Vehicle 	 78.43901515007019 
4	Fun 	 78.30230593681335 
5	Air travel 	 75.31253099441528 
6	Happy 	 74.96516704559326 
7	Event 	 71.83881998062134 
8	White-collar worker 	 71.8030571937561 
9	Passenger 	 70.21002173423767 
	Object 	 Score
0	Glasses 	 86.47135496139526 
1	Person 	 86.33097410202026 
2	Person 	 83.78747701644897 
3	Clothing 	 82.11498856544495 
4	Clothing 	 79.68023419380188 


fp .fem-pilots-light-474.jpg
 	Label 	 Score
0	Photograph 	 94.15549039840698 
1	Vehicle 	 92.39766597747803 
2	Aircraft 	 91.15465879440308 
3	Aerospace manufacturer 	 84.2840313911438 
4	Aviation 	 81.94164037704468 
5	Military aircraft 	 80.77558875083923 
6	Propeller-driven aircraft 	 78.75211238861084 
7	Propeller 	 77.82847285270691 
8	Monoplane 	 74.62185621261597 
9	Airplane 	 73.80541563034058 
	Object 	 Score
0	Person 	 84.71612930297852 
1	Person 	 84.2704176902771 
2	Person 	 83.96168947219849 
3	Clothing 	 62.14597821235657 
4	Clothing 	 57.61432647705078 
5	Clothing 	 56.79941773414612 
6	Clothing 	 55.93963265419006 


fp .fem-pilots-light-473.jpg
 	Label 	 Score
0	Smile 	 96.32295370101929 
1	Window 	 92.9175078868866 
2	Sleeve 	 87.24457025527954 
3	Gesture 	 85.2604866027832 
4	Grass 	 76.37671232223511 
5	Military person 	 76.15540623664856 
6	Official 	 71.14022374153137 
7	Uniform 	 69.96744275093079 
8	Event 	 69.50528025627136 
9	Electric blue 	 65.24957418441772 
	Object 	 Score
0	Person 	 89.69564437866211 
1	Outerwear 	 78.87153029441833 
2	Person 	 75.24053454399109 
3	Window 	 62.070631980895996 


fp .fem-pilots-light-479.jpg
 	Label 	 Score
0	Smile 	 97.36154079437256 
1	Vehicle 	 94.61938142776489 
2	Aircraft 	 92.34156608581543 
3	Sky 	 91.09354615211487 
4	Airplane 	 89.44500684738159 
5	Aviation 	 85.09924411773682 
6	Aerospace manufacturer 	 85.0337266921997 
7	Travel 	 84.25211310386658 
8	Flap 	 83.31605195999146 
9	Air travel 	 83.21261405944824 
	Object 	 Score
0	Person 	 89.40895199775696 
1	Wheel 	 56.73288702964783 


fp .fem-pilots-light-475.jpg
 	Label 	 Score
0	Hair 	 98.3563244342804 
1	Smile 	 94.4591760635376 
2	Eyebrow 	 94.16442513465881 
3	Eye 	 93.77299547195435 
4	School uniform 	 93.62637400627136 
5	Tie 	 92.22188591957092 
6	Vertebrate 	 91.9720709323883 
7	Dress shirt 	 90.06335139274597 
8	Jaw 	 87.70700097084045 
9	Neck 	 87.29188442230225 
	Object 	 Score
0	Tie 	 94.00503635406494 
1	Person 	 84.48581099510193 
2	Top 	 76.69256329536438 


fp .fem-pilots-light-472.jpg
 	Label 	 Score
0	Smile 	 98.29212427139282 
1	Vehicle 	 88.07801604270935 
2	Tie 	 82.89374113082886 
3	Air travel 	 82.28241801261902 
4	Travel 	 82.22690224647522 
5	Public transport 	 77.9270350933075 
6	Passenger 	 75.97107887268066 
7	Event 	 72.89505004882812 
8	Aircraft cabin 	 72.8094220161438 
9	White-collar worker 	 72.16624021530151 
	Object 	 Score
0	Person 	 80.65749406814575 
1	Person 	 79.04742956161499 
2	Person 	 78.46130728721619 
3	Person 	 74.371737241745 
4	Clothing 	 72.27728962898254 
5	Chair 	 72.00199961662292 
6	Clothing 	 71.73121571540833 
7	Clothing 	 71.47984504699707 
8	Clothing 	 71.12019658088684 
9	Clothing 	 71.07914686203003 


fp .fem-pilots-light-476.jpg
 	Label 	 Score
0	Smile 	 88.43395709991455 
1	Dress shirt 	 87.5042200088501 
2	Collar 	 83.77317190170288 
3	Blazer 	 78.16721200942993 
4	Tie 	 76.37108564376831 
5	Formal wear 	 74.76092576980591 
6	Event 	 72.52397537231445 
7	Building 	 69.40404772758484 
8	Suit 	 65.06538391113281 
9	Official 	 63.40017914772034 
	Object 	 Score
0	Person 	 89.7709608078003 
1	Tie 	 76.28399729728699 
2	Coat 	 73.73687624931335 


fp .fem-pilots-light-477.jpg
 	Label 	 Score
0	Smile 	 98.28903079032898 
1	Sleeve 	 87.24498748779297 
2	Gesture 	 85.2604866027832 
3	Happy 	 84.37472581863403 
4	Collar 	 82.21521973609924 
5	Croydon facelift 	 77.85675525665283 
6	Event 	 74.06445145606995 
7	School uniform 	 70.60830593109131 
8	Flight attendant 	 66.25251770019531 
9	Uniform 	 64.77842330932617 
	Object 	 Score
0	Person 	 82.50169157981873 
1	Person 	 81.13786578178406 
2	Tie 	 76.26494765281677 
3	Outerwear 	 73.49856495857239 
4	Top 	 70.88634967803955 
5	Clothing 	 69.52958703041077 


fp .fem-pilots-light-478.jpg
 	Label 	 Score
0	Smile 	 95.70223689079285 
1	Gesture 	 85.2604866027832 
2	Tie 	 85.22834777832031 
3	Collar 	 80.39390444755554 
4	Event 	 74.45080280303955 
5	Military person 	 74.05991554260254 
6	Official 	 72.03463912010193 
7	Blazer 	 70.1331079006195 
8	Formal wear 	 68.67072582244873 
9	Uniform 	 67.32077598571777 
	Object 	 Score
0	Person 	 91.16411209106445 
1	Hat 	 90.30776023864746 
2	Person 	 87.23830580711365 
3	Person 	 86.41178607940674 
4	Clothing 	 63.547325134277344 
5	Coat 	 62.0941698551178 
6	Clothing 	 58.75919461250305 


fp .fem-pilots-light-524.png
 	Label 	 Score
0	Smile 	 97.7709412574768 
1	Flight instruments 	 91.78665280342102 
2	Cockpit 	 86.30544543266296 
3	Helicopter pilot 	 83.12601447105408 
4	Aircraft 	 81.05608820915222 
5	Air travel 	 80.33466339111328 
6	Vehicle 	 78.43888998031616 
7	Engineering 	 77.8615653514862 
8	Aviation 	 76.70173645019531 
9	Motor vehicle 	 75.82795023918152 
	Object 	 Score
0	Headphones 	 87.6299500465393 
1	Person 	 87.38727569580078 
2	Clothing 	 80.06054759025574 


fp .fem-pilots-light-470.jpg
 	Label 	 Score
0	Smile 	 98.0284333229065 
1	Peaked cap 	 93.32944750785828 
2	Military uniform 	 92.19371676445007 
3	Military person 	 89.88162279129028 
4	Gesture 	 85.2604866027832 
5	Non-commissioned officer 	 84.11353826522827 
6	Badge 	 83.96806716918945 
7	Collar 	 83.40949416160583 
8	Military officer 	 81.34697675704956 
9	Blazer 	 78.14810276031494 
	Object 	 Score
0	Hat 	 92.3845887184143 
1	Tie 	 71.70957326889038 
2	Person 	 57.2615385055542 


fp .fem-pilots-light-467.jpg
 	Label 	 Score
0	Dog 	 95.2768087387085 
1	Smile 	 94.6341872215271 
2	Carnivore 	 88.93925547599792 
3	Dog breed 	 87.89562582969666 
4	Gesture 	 85.2604866027832 
5	Companion dog 	 82.04553723335266 
6	Fawn 	 81.5324068069458 
7	Working animal 	 80.89792132377625 
8	Toy 	 78.88745069503784 
9	Cap 	 77.0324170589447 
	Object 	 Score
0	Person 	 84.72793698310852 
1	Hat 	 84.52730774879456 
2	Hat 	 84.25098061561584 
3	Dog 	 80.04774451255798 
4	Glasses 	 61.5991473197937 


